state,strata,date,proportion
Perak,urban,1/1/2020,100
Perak,urban,1/1/2021,100
Perak,urban,1/1/2022,100
Perlis,rural,1/1/2012,99
Perlis,rural,1/1/2013,99
Perlis,rural,1/1/2014,99
Perlis,rural,1/1/2015,99
Perlis,rural,1/1/2016,99
Perlis,rural,1/1/2017,99
Perlis,rural,1/1/2018,99
Perlis,rural,1/1/2019,99
Perlis,rural,1/1/2020,99
Perlis,rural,1/1/2021,99
Perlis,rural,1/1/2022,99
Perlis,urban,1/1/2012,100
Perlis,urban,1/1/2013,100
Perlis,urban,1/1/2014,100
Perlis,urban,1/1/2015,100
Perlis,urban,1/1/2016,100
Perlis,urban,1/1/2017,100
Perlis,urban,1/1/2018,100
Perlis,urban,1/1/2019,100
Perlis,urban,1/1/2020,100
Perlis,urban,1/1/2021,100
Perlis,urban,1/1/2022,100
Pulau Pinang,rural,1/1/2012,99.7
Pulau Pinang,rural,1/1/2013,99.7
Pulau Pinang,rural,1/1/2014,99.7
Pulau Pinang,rural,1/1/2015,99.7
Pulau Pinang,rural,1/1/2016,99.7
Pulau Pinang,rural,1/1/2017,99.8
Pulau Pinang,rural,1/1/2018,99.8
Pulau Pinang,rural,1/1/2019,99.8
Pulau Pinang,rural,1/1/2020,99.8
Pulau Pinang,rural,1/1/2021,99.8
Pulau Pinang,rural,1/1/2022,99.8
Pulau Pinang,urban,1/1/2012,100
Pulau Pinang,urban,1/1/2013,100
Pulau Pinang,urban,1/1/2014,100
Pulau Pinang,urban,1/1/2015,100
Pulau Pinang,urban,1/1/2016,100
Pulau Pinang,urban,1/1/2017,100
Pulau Pinang,urban,1/1/2018,100
Pulau Pinang,urban,1/1/2019,100
Pulau Pinang,urban,1/1/2020,100
Pulau Pinang,urban,1/1/2021,100
Pulau Pinang,urban,1/1/2022,100
Sabah,rural,1/1/2012,64.2
Sabah,rural,1/1/2013,73.1
Sabah,rural,1/1/2014,73.1
Sabah,rural,1/1/2015,76
Sabah,rural,1/1/2016,79
Sabah,rural,1/1/2017,78
Sabah,rural,1/1/2018,78
Sabah,rural,1/1/2019,78
Sabah,rural,1/1/2020,54
Sabah,rural,1/1/2021,56
Sabah,rural,1/1/2022,61
Sabah,urban,1/1/2012,99.8
Sabah,urban,1/1/2013,99.8
Sabah,urban,1/1/2014,99.8
Sabah,urban,1/1/2015,99.8
Sabah,urban,1/1/2016,99.8
Sabah,urban,1/1/2017,100
Sabah,urban,1/1/2018,100
Sabah,urban,1/1/2019,100
Sabah,urban,1/1/2020,100
Sabah,urban,1/1/2021,100
Sabah,urban,1/1/2022,100
Sarawak,rural,1/1/2012,63.5
Sarawak,rural,1/1/2013,76
Sarawak,rural,1/1/2014,76.6
Sarawak,rural,1/1/2015,78
Sarawak,rural,1/1/2016,78.7
Sarawak,rural,1/1/2017,79.5
Sarawak,rural,1/1/2018,79.7
Sarawak,rural,1/1/2019,64.8
Sarawak,rural,1/1/2020,66.5
Sarawak,rural,1/1/2021,66.9
Sarawak,rural,1/1/2022,67.2
Sarawak,urban,1/1/2012,99.6
Sarawak,urban,1/1/2013,99.7
Sarawak,urban,1/1/2014,99.8
Sarawak,urban,1/1/2015,99.8
Sarawak,urban,1/1/2016,99.8
Sarawak,urban,1/1/2017,99.8
Sarawak,urban,1/1/2018,99.9
Sarawak,urban,1/1/2019,99.9
Sarawak,urban,1/1/2020,99
Sarawak,urban,1/1/2021,99
Sarawak,urban,1/1/2022,99
Selangor,rural,1/1/2012,99.5
Selangor,rural,1/1/2013,99.5
Selangor,rural,1/1/2014,99.5
Selangor,rural,1/1/2015,99.5
Selangor,rural,1/1/2016,99.5
Selangor,rural,1/1/2017,99.5
Selangor,rural,1/1/2018,99.5
Selangor,rural,1/1/2019,99.5
Selangor,rural,1/1/2020,99.5
Selangor,rural,1/1/2021,99.5
Selangor,rural,1/1/2022,99.5
Selangor,urban,1/1/2012,100
Selangor,urban,1/1/2013,100
Selangor,urban,1/1/2014,100
Selangor,urban,1/1/2015,100
Selangor,urban,1/1/2016,100
Selangor,urban,1/1/2017,100
Selangor,urban,1/1/2018,100
Selangor,urban,1/1/2019,100
Selangor,urban,1/1/2020,100
Selangor,urban,1/1/2021,100
Selangor,urban,1/1/2022,100
Terengganu,rural,1/1/2012,92.9
Terengganu,rural,1/1/2013,92.9
Terengganu,rural,1/1/2014,92.9
Terengganu,rural,1/1/2015,92.9
Terengganu,rural,1/1/2016,92.9
Terengganu,rural,1/1/2017,92.9
Terengganu,rural,1/1/2018,92.9
Terengganu,rural,1/1/2019,92.9
Terengganu,rural,1/1/2020,92.9
Terengganu,rural,1/1/2021,92.9
Terengganu,rural,1/1/2022,92.9
Terengganu,urban,1/1/2012,99.1
Terengganu,urban,1/1/2013,99.1
Terengganu,urban,1/1/2014,99.1
Terengganu,urban,1/1/2015,99.1
Terengganu,urban,1/1/2016,99.1
Terengganu,urban,1/1/2017,99.1
Terengganu,urban,1/1/2018,99.1
Terengganu,urban,1/1/2019,99.1
Terengganu,urban,1/1/2020,99.1
Terengganu,urban,1/1/2021,99.1
Terengganu,urban,1/1/2022,99.1
W.P. Labuan,rural,1/1/2012,100
W.P. Labuan,rural,1/1/2013,100
W.P. Labuan,rural,1/1/2014,100
W.P. Labuan,rural,1/1/2015,100
W.P. Labuan,rural,1/1/2016,100
W.P. Labuan,rural,1/1/2017,100
W.P. Labuan,rural,1/1/2018,100
W.P. Labuan,rural,1/1/2019,100
W.P. Labuan,rural,1/1/2020,100
W.P. Labuan,rural,1/1/2021,100
W.P. Labuan,rural,1/1/2022,100
W.P. Labuan,urban,1/1/2012,100
W.P. Labuan,urban,1/1/2013,100
W.P. Labuan,urban,1/1/2014,100
W.P. Labuan,urban,1/1/2015,100
W.P. Labuan,urban,1/1/2016,100
W.P. Labuan,urban,1/1/2017,100
W.P. Labuan,urban,1/1/2018,100
W.P. Labuan,urban,1/1/2019,100
W.P. Labuan,urban,1/1/2020,100
W.P. Labuan,urban,1/1/2021,100
W.P. Labuan,urban,1/1/2022,100
